,Artist,Title,Year,Writers,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
276,Derek and the Dominos,Layla,1970,"Eric Clapton, Jim Gordon",2kkvB3RNRzwjFdGhaUA0tz,77,0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,audio_features,2kkvB3RNRzwjFdGhaUA0tz,spotify:track:2kkvB3RNRzwjFdGhaUA0tz,https://api.spotify.com/v1/tracks/2kkvB3RNRzwjFdGhaUA0tz,https://api.spotify.com/v1/audio-analysis/2kkvB3RNRzwjFdGhaUA0tz,423840,4
277,Eminem feat. Dido,Stan,2000,"Marshall Mathers, Dido Armstrong, Paul Herman",7FgpbWDh8wAhgmtZGnyxSz,44,0.781,0.739,6,-4.723,0,0.215,0.0371,5.17e-06,0.548,0.514,80.032,audio_features,7FgpbWDh8wAhgmtZGnyxSz,spotify:track:7FgpbWDh8wAhgmtZGnyxSz,https://api.spotify.com/v1/tracks/7FgpbWDh8wAhgmtZGnyxSz,https://api.spotify.com/v1/audio-analysis/7FgpbWDh8wAhgmtZGnyxSz,403360,4
278,"Crosby, Stills, and Nash",Suite: Judy Blue Eyes,1969,Stephen Stills,2PuUFT13yCzUOZun94WOXv,65,0.451,0.364,9,-13.126,1,0.0436,0.469,0.0,0.197,0.298,154.206,audio_features,2PuUFT13yCzUOZun94WOXv,spotify:track:2PuUFT13yCzUOZun94WOXv,https://api.spotify.com/v1/tracks/2PuUFT13yCzUOZun94WOXv,https://api.spotify.com/v1/audio-analysis/2PuUFT13yCzUOZun94WOXv,444053,4
279,Ike and Tina Turner,"River Deep, Mountain High",1966,"Phil Spector, Jeff Barry, Ellie Greenwich",44BmNSqH9uZV5OfIjGcER3,62,0.389,0.745,3,-6.998,1,0.0384,0.777,0.00159,0.143,0.271,83.037,audio_features,44BmNSqH9uZV5OfIjGcER3,spotify:track:44BmNSqH9uZV5OfIjGcER3,https://api.spotify.com/v1/tracks/44BmNSqH9uZV5OfIjGcER3,https://api.spotify.com/v1/audio-analysis/44BmNSqH9uZV5OfIjGcER3,214880,4
280,New Order,Bizarre Love Triangle,1986,"Gillian Gilbert, Peter Hook, Stephen Morris, Bernard Sumner",6wVViUl2xSRoDK2T7dMZbR,67,0.613,0.885,10,-7.463,1,0.052,0.0804,0.746,0.0997,0.919,118.506,audio_features,6wVViUl2xSRoDK2T7dMZbR,spotify:track:6wVViUl2xSRoDK2T7dMZbR,https://api.spotify.com/v1/tracks/6wVViUl2xSRoDK2T7dMZbR,https://api.spotify.com/v1/audio-analysis/6wVViUl2xSRoDK2T7dMZbR,263213,4
281,Tom Petty,Free Fallin',1989,"Jeff Lynne, Tom Petty, Mike Campbell",5tVA6TkbaAH9QMITTQRrNv,79,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4
282,Wilson Pickett,In the Midnight Hour,1965,"Wilson Pickett, Steve Cropper",4NRQwaks9r58tTDvr4iEyv,66,0.75,0.444,4,-8.63,1,0.0403,0.12,3.69e-06,0.118,0.849,111.919,audio_features,4NRQwaks9r58tTDvr4iEyv,spotify:track:4NRQwaks9r58tTDvr4iEyv,https://api.spotify.com/v1/tracks/4NRQwaks9r58tTDvr4iEyv,https://api.spotify.com/v1/audio-analysis/4NRQwaks9r58tTDvr4iEyv,157160,4
283,Stevie Nicks,Edge of Seventeen,1981,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,71,0.59,0.828,0,-6.28,1,0.0439,0.277,5.57e-06,0.0868,0.636,111.353,audio_features,2id8E4WvczfKHB4LHI7Np3,spotify:track:2id8E4WvczfKHB4LHI7Np3,https://api.spotify.com/v1/tracks/2id8E4WvczfKHB4LHI7Np3,https://api.spotify.com/v1/audio-analysis/2id8E4WvczfKHB4LHI7Np3,329680,4
284,Elvis Presley,Jailhouse Rock,1957,"Jerry Leiber, Mike Stoller",4gphxUgq0JSFv2BCLhNDiE,70,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,audio_features,4gphxUgq0JSFv2BCLhNDiE,spotify:track:4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/tracks/4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/audio-analysis/4gphxUgq0JSFv2BCLhNDiE,146480,4
285,Mobb Deep,"Shook Ones, Pt. II",1995,"Albert Johnson, Kejuan Muchita",33ZXjLCpiINn8eQIDYEPTD,77,0.763,0.786,10,-6.472,0,0.229,0.0146,0.0114,0.0817,0.504,93.857,audio_features,33ZXjLCpiINn8eQIDYEPTD,spotify:track:33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD,https://api.spotify.com/v1/audio-analysis/33ZXjLCpiINn8eQIDYEPTD,325507,4
